activity_name,geography,reference_product_name,reference_product_unit,reference_product_amount,cluster,is_anomaly,pca_x,pca_y
"BTX production, from pyrolysis gas, average",RER,"hydrocarbons, aromatic, cyclic (C9+)",kg,1,0,False,-0.006768951798137806,-0.018524204562520206
"BTX production, from pyrolysis gas, average",RER,o-xylene,kg,1,4,False,0.028153190046211897,0.27473216185851174
"BTX production, from pyrolysis gas, average",RER,p-xylene,kg,1,4,False,0.027764747638261564,0.2714710862297591
"BTX production, from pyrolysis gas, average",RER,raffinate,kg,1,0,False,-0.006768314719992332,-0.01851885386652676
"BTX production, from pyrolysis gas, average",RER,"toluene, liquid",kg,1,4,False,0.01199204861023705,0.139036550367872
"BTX production, from pyrolysis gas, average",RER,"xylene, mixed",kg,1,4,False,0.011845650458975784,0.13780725584814127
"BTX production, from reformate, average",RoW,benzene,kg,1,0,False,0.005354521055353054,0.08330101506967845
"BTX production, from reformate, average",RoW,"hydrocarbons, aromatic, cyclic (C9+)",kg,1,0,False,-0.026356252268959084,-0.18305194608133601
"BTX production, from reformate, average",RoW,o-xylene,kg,1,4,False,0.018135656569030212,0.19063133825111758
"BTX production, from reformate, average",RoW,p-xylene,kg,1,4,False,0.017610438080644858,0.18622120895308492
"BTX production, from reformate, average",RoW,raffinate,kg,1,0,False,-0.026356231287251636,-0.18305176983326754
"BTX production, from reformate, average",RoW,"toluene, liquid",kg,1,0,False,-0.005518787607368817,-0.008019577054306976
"BTX production, from reformate, average",RoW,"xylene, mixed",kg,1,0,False,-0.005518731980789437,-0.008019109859906821
"BTX production, from reformate, average",RER,benzene,kg,1,0,False,0.0032995089553133463,0.0660402458853847
"BTX production, from reformate, average",RER,"hydrocarbons, aromatic, cyclic (C9+)",kg,1,0,False,-0.025228475314846652,-0.17358002959470908
"BTX production, from reformate, average",RER,o-xylene,kg,1,4,False,0.013988810283992481,0.15580795418172363
"BTX production, from reformate, average",RER,p-xylene,kg,1,4,False,0.013466897644815257,0.15142531971566928
"BTX production, from reformate, average",RER,raffinate,kg,1,0,False,-0.02522845417803348,-0.173579852045497
"BTX production, from reformate, average",RER,"toluene, liquid",kg,1,0,False,-0.006750514961118203,-0.018367178591723033
