activity_name,geography,reference_product_name,iso_forest_anomaly,lof_anomaly
N-methyl-2-pyrrolidone production,RoW,N-methyl-2-pyrrolidone,False,False
N-methyl-2-pyrrolidone production,RER,N-methyl-2-pyrrolidone,False,False
"NCA hydroxide production, for Li-ion battery",CN,NCA hydroxide,False,False
"NCA hydroxide production, for Li-ion battery",CN,"sodium sulfate, anhydrite",False,True
"NCA hydroxide production, for Li-ion battery",RoW,NCA hydroxide,False,False
"NCA hydroxide production, for Li-ion battery",RoW,"sodium sulfate, anhydrite",False,True
"NCA oxide production, for Li-ion battery",CN,NCA oxide,False,False
"NCA oxide production, for Li-ion battery",RoW,NCA oxide,False,False
"NMC111 hydroxide production, for Li-ion battery",CN,NMC111 hydroxide,False,False
"NMC111 hydroxide production, for Li-ion battery",CN,"sodium sulfate, anhydrite",False,False
"NMC111 hydroxide production, for Li-ion battery",RoW,NMC111 hydroxide,False,False
"NMC111 hydroxide production, for Li-ion battery",RoW,"sodium sulfate, anhydrite",False,False
"NMC111 oxide production, for Li-ion battery",CN,NMC111 oxide,False,False
"NMC111 oxide production, for Li-ion battery",RoW,NMC111 oxide,False,False
"NMC532 hydroxide production, for Li-ion battery",CN,NMC532 hydroxide,False,False
"NMC532 hydroxide production, for Li-ion battery",CN,"sodium sulfate, anhydrite",False,False
"NMC532 hydroxide production, for Li-ion battery",RoW,NMC532 hydroxide,False,False
"NMC532 hydroxide production, for Li-ion battery",RoW,"sodium sulfate, anhydrite",False,False
"NMC532 oxide production, for Li-ion battery",CN,NMC532 oxide,False,False
"NMC532 oxide production, for Li-ion battery",RoW,NMC532 oxide,False,False
"NMC622 hydroxide production, for Li-ion battery",CN,NMC622 hydroxide,False,False
"NMC622 hydroxide production, for Li-ion battery",CN,"sodium sulfate, anhydrite",False,False
"NMC622 hydroxide production, for Li-ion battery",RoW,NMC622 hydroxide,False,False
"NMC622 hydroxide production, for Li-ion battery",RoW,"sodium sulfate, anhydrite",False,False
"NMC622 oxide production, for Li-ion battery",CN,NMC622 oxide,False,False
"NMC622 oxide production, for Li-ion battery",RoW,NMC622 oxide,False,False
"NMC811 hydroxide production, for Li-ion battery",CN,NMC811 hydroxide,False,False
"NMC811 hydroxide production, for Li-ion battery",CN,"sodium sulfate, anhydrite",False,False
"NMC811 hydroxide production, for Li-ion battery",RoW,NMC811 hydroxide,False,False
"NMC811 hydroxide production, for Li-ion battery",RoW,"sodium sulfate, anhydrite",False,False
"NMC811 oxide production, for Li-ion battery",CN,NMC811 oxide,False,False
"NMC811 oxide production, for Li-ion battery",RoW,NMC811 oxide,False,False
NPK (15-15-15) fertiliser production,CN,NPK (15-15-15) fertiliser,False,True
NPK (15-15-15) fertiliser production,RoW,NPK (15-15-15) fertiliser,False,False
NPK (15-15-15) fertiliser production,RER,NPK (15-15-15) fertiliser,False,False
NPK (15-15-15) fertiliser production,RNA,NPK (15-15-15) fertiliser,False,False
NPK (26-15-15) fertiliser production,CN,NPK (26-15-15) fertiliser,False,False
NPK (26-15-15) fertiliser production,RoW,NPK (26-15-15) fertiliser,False,False
NPK (26-15-15) fertiliser production,RER,NPK (26-15-15) fertiliser,False,False
NPK (26-15-15) fertiliser production,RNA,NPK (26-15-15) fertiliser,False,False
"PS/ABS, pellets, recycled to generic market for polystyrene, high impact",RER,"polystyrene, high impact",False,False
[sulfonyl]urea-compound production,RoW,[sulfonyl]urea-compound,False,False
[sulfonyl]urea-compound production,RER,[sulfonyl]urea-compound,False,False
[thio]carbamate-compound production,RoW,[thio]carbamate-compound,False,False
[thio]carbamate-compound production,RER,[thio]carbamate-compound,False,False
"abrasive blasting, alumina, carbon steel substrate",GLO,"abrasive blasting, alumina, carbon steel substrate",False,False
"absorption chiller production, 100kW",CH,"absorption chiller, 100kW",False,False
"absorption chiller production, 100kW",RoW,"absorption chiller, 100kW",False,False
"acetaldehyde production, ethylene oxidation",RoW,acetaldehyde,False,False
"acetaldehyde production, ethylene oxidation",RER,acetaldehyde,False,False
"acetamide-anillide-compound production, unspecified",RoW,"acetamide-anillide-compound, unspecified",False,False
"acetamide-anillide-compound production, unspecified",RER,"acetamide-anillide-compound, unspecified",False,False
acetanilide production,RoW,acetanilide,False,False
acetanilide production,RER,acetanilide,False,False
"acetic acid production, from acetaldehyde oxidation",RoW,acetic acid,False,False
"acetic acid production, from acetaldehyde oxidation",RoW,methyl acetate,False,False
"acetic acid production, from acetaldehyde oxidation",IN,acetic acid,False,False
"acetic acid production, from acetaldehyde oxidation",IN,methyl acetate,False,False
"acetic acid production, from acetaldehyde oxidation",RER,acetic acid,False,False
"acetic acid production, from acetaldehyde oxidation",RER,methyl acetate,False,False
"acetic acid production, from acetaldehyde oxidation",UN-EASIA,acetic acid,False,False
"acetic acid production, from acetaldehyde oxidation",UN-EASIA,methyl acetate,False,False
"acetic acid production, from acetaldehyde oxidation",US,acetic acid,False,False
"acetic acid production, from acetaldehyde oxidation",US,methyl acetate,False,False
"acetic acid production, from high-pressure methanol carbonylation",RoW,acetic acid,False,False
"acetic acid production, from high-pressure methanol carbonylation",IN,acetic acid,False,False
"acetic acid production, from high-pressure methanol carbonylation",RER,acetic acid,False,False
"acetic acid production, from high-pressure methanol carbonylation",UN-EASIA,acetic acid,False,False
"acetic acid production, from high-pressure methanol carbonylation",US,acetic acid,False,False
"acetic acid production, from low-pressure methanol carbonylation",RoW,acetic acid,False,False
"acetic acid production, from low-pressure methanol carbonylation",RoW,propionic acid,False,False
"acetic acid production, from low-pressure methanol carbonylation",IN,acetic acid,False,False
"acetic acid production, from low-pressure methanol carbonylation",IN,propionic acid,False,False
"acetic acid production, from low-pressure methanol carbonylation",RER,acetic acid,False,False
"acetic acid production, from low-pressure methanol carbonylation",RER,propionic acid,False,False
"acetic acid production, from low-pressure methanol carbonylation",UN-EASIA,acetic acid,False,False
"acetic acid production, from low-pressure methanol carbonylation",UN-EASIA,propionic acid,False,False
"acetic acid production, from low-pressure methanol carbonylation",US,acetic acid,False,False
"acetic acid production, from low-pressure methanol carbonylation",US,propionic acid,False,False
"acetic acid production, from n-butane oxidation",RoW,acetic acid,False,False
"acetic acid production, from n-butane oxidation",RoW,"acetone, liquid",False,False
"acetic acid production, from n-butane oxidation",RoW,ethyl acetate,False,False
"acetic acid production, from n-butane oxidation",RoW,formic acid,False,False
"acetic acid production, from n-butane oxidation",RoW,methyl acetate,False,False
"acetic acid production, from n-butane oxidation",RoW,methyl ethyl ketone,False,False
"acetic acid production, from n-butane oxidation",IN,acetic acid,False,False
"acetic acid production, from n-butane oxidation",IN,"acetone, liquid",False,False
"acetic acid production, from n-butane oxidation",IN,ethyl acetate,False,False
"acetic acid production, from n-butane oxidation",IN,formic acid,False,False
"acetic acid production, from n-butane oxidation",IN,methyl acetate,False,False
"acetic acid production, from n-butane oxidation",IN,methyl ethyl ketone,False,False
"acetic acid production, from n-butane oxidation",RER,acetic acid,False,False
"acetic acid production, from n-butane oxidation",RER,"acetone, liquid",False,False
"acetic acid production, from n-butane oxidation",RER,ethyl acetate,False,False
"acetic acid production, from n-butane oxidation",RER,formic acid,False,False
"acetic acid production, from n-butane oxidation",RER,methyl acetate,False,False
"acetic acid production, from n-butane oxidation",RER,methyl ethyl ketone,False,False
"acetic acid production, from n-butane oxidation",UN-EASIA,acetic acid,False,False
"acetic acid production, from n-butane oxidation",UN-EASIA,"acetone, liquid",False,False
"acetic acid production, from n-butane oxidation",UN-EASIA,ethyl acetate,False,False
"acetic acid production, from n-butane oxidation",UN-EASIA,formic acid,False,False
"acetic acid production, from n-butane oxidation",UN-EASIA,methyl acetate,False,False
"acetic acid production, from n-butane oxidation",UN-EASIA,methyl ethyl ketone,False,False
"acetic acid production, from n-butane oxidation",US,acetic acid,False,False
"acetic acid production, from n-butane oxidation",US,"acetone, liquid",False,False
"acetic acid production, from n-butane oxidation",US,ethyl acetate,False,False
"acetic acid production, from n-butane oxidation",US,formic acid,False,False
"acetic acid production, from n-butane oxidation",US,methyl acetate,False,False
"acetic acid production, from n-butane oxidation",US,methyl ethyl ketone,False,False
"acetic acid production, from naphtha oxidation",RoW,acetic acid,False,False
"acetic acid production, from naphtha oxidation",RoW,butyric acid,False,False
"acetic acid production, from naphtha oxidation",RoW,formic acid,False,False
"acetic acid production, from naphtha oxidation",RoW,propionic acid,False,False
"acetic acid production, from naphtha oxidation",RoW,succinic acid,False,False
"acetic acid production, from naphtha oxidation",IN,acetic acid,False,False
"acetic acid production, from naphtha oxidation",IN,butyric acid,False,False
"acetic acid production, from naphtha oxidation",IN,formic acid,False,False
"acetic acid production, from naphtha oxidation",IN,propionic acid,False,False
"acetic acid production, from naphtha oxidation",IN,succinic acid,False,False
"acetic acid production, from naphtha oxidation",RER,acetic acid,False,False
"acetic acid production, from naphtha oxidation",RER,butyric acid,False,False
"acetic acid production, from naphtha oxidation",RER,formic acid,False,False
"acetic acid production, from naphtha oxidation",RER,propionic acid,False,False
"acetic acid production, from naphtha oxidation",RER,succinic acid,False,False
"acetic acid production, from naphtha oxidation",UN-EASIA,acetic acid,False,False
"acetic acid production, from naphtha oxidation",UN-EASIA,butyric acid,False,False
"acetic acid production, from naphtha oxidation",UN-EASIA,formic acid,False,False
"acetic acid production, from naphtha oxidation",UN-EASIA,propionic acid,False,False
"acetic acid production, from naphtha oxidation",UN-EASIA,succinic acid,False,False
"acetic acid production, from naphtha oxidation",US,acetic acid,False,False
"acetic acid production, from naphtha oxidation",US,butyric acid,False,False
"acetic acid production, from naphtha oxidation",US,formic acid,False,False
"acetic acid production, from naphtha oxidation",US,propionic acid,False,False
"acetic acid production, from naphtha oxidation",US,succinic acid,False,False
"acetic anhydride production, acetaldehyde oxidation",RoW,acetic acid,False,False
"acetic anhydride production, acetaldehyde oxidation",RoW,acetic anhydride,False,False
"acetic anhydride production, acetaldehyde oxidation",RER,acetic acid,False,False
"acetic anhydride production, acetaldehyde oxidation",RER,acetic anhydride,False,False
"acetic anhydride production, acetic acid pyrolysis, via ketene intermediate",RoW,acetic anhydride,False,False
"acetic anhydride production, acetic acid pyrolysis, via ketene intermediate",RER,acetic anhydride,False,False
acetoacetic acid production,RoW,acetoacetic acid,False,False
acetoacetic acid production,RER,acetoacetic acid,False,False
acetone cyanohydrin production,RoW,acetone cyanohydrin,False,False
acetone cyanohydrin production,RER,acetone cyanohydrin,False,False
"acetone production, from isopropanol",RoW,"acetone, liquid",False,False
"acetone production, from isopropanol",RER,"acetone, liquid",False,False
acetonitrile to generic market for solvent for chromatography analysis,GLO,solvent for chromatography analysis,False,False
acetyl chloride production,RoW,acetyl chloride,False,False
acetyl chloride production,RER,acetyl chloride,False,False
acetylene production,RoW,acetylene,False,False
acetylene production,RER,acetylene,False,False
aclonifen production,RoW,aclonifen,False,False
aclonifen production,RER,aclonifen,False,False
acrolein production,RoW,acrolein,False,False
acrolein production,RER,acrolein,False,False
"acrylic acid production, propylene oxidation",RoW,acetic acid,False,False
"acrylic acid production, propylene oxidation",RoW,acrylic acid,False,False
"acrylic acid production, propylene oxidation",RER,acetic acid,False,False
"acrylic acid production, propylene oxidation",RER,acrylic acid,False,False
"acrylic binder production, with water, in 54% solution state",RoW,"acrylic binder, with water, in 54% solution state",False,False
"acrylic binder production, with water, in 54% solution state",RER,"acrylic binder, with water, in 54% solution state",False,False
"acrylic dispersion production, with water, in 58% solution state",RoW,"acrylic dispersion, with water, in 58% solution state",False,False
"acrylic dispersion production, with water, in 58% solution state",RER,"acrylic dispersion, with water, in 58% solution state",False,False
acrylic filler production,RoW,acrylic filler,False,False
acrylic filler production,RER,acrylic filler,False,False
"acrylic varnish production, with water, in 53% solution state",RoW,"acrylic varnish, with water, in 53% solution state",False,False
"acrylic varnish production, with water, in 53% solution state",RER,"acrylic varnish, with water, in 53% solution state",False,False
"acrylonitrile production, Sohio process",RoW,acetonitrile,False,False
"acrylonitrile production, Sohio process",RoW,acrylonitrile,False,False
"acrylonitrile production, Sohio process",RoW,hydrogen cyanide,False,False
"acrylonitrile production, Sohio process",RER,acetonitrile,False,False
"acrylonitrile production, Sohio process",RER,acrylonitrile,False,False
"acrylonitrile production, Sohio process",RER,hydrogen cyanide,False,False
acrylonitrile-butadiene-styrene copolymer production,RoW,acrylonitrile-butadiene-styrene copolymer,False,False
acrylonitrile-butadiene-styrene copolymer production,RER,acrylonitrile-butadiene-styrene copolymer,False,False
"acrylonitrile-butadiene-styrene, pellets, recycled to generic market for acrylonitrile-butadiene-styrene copolymer",RER,acrylonitrile-butadiene-styrene copolymer,False,False
activated bentonite production,DE,activated bentonite,False,False
activated bentonite production,RoW,activated bentonite,False,False
"activated carbon production, granular from hard coal",RoW,"activated carbon, granular",False,False
"activated carbon production, granular from hard coal",RER,"activated carbon, granular",False,False
activated silica production,GLO,activated silica,False,False
activated silica production,GLO,"sodium sulfate, anhydrite",False,False
adhesive mortar production,CH,adhesive mortar,False,False
adhesive mortar production,RoW,adhesive mortar,False,False
"adhesive production, for metal",DE,"adhesive, for metal",False,False
"adhesive production, for metal",RoW,"adhesive, for metal",False,False
adipic acid production,RoW,adipic acid,False,False
adipic acid production,RoW,succinic acid,False,False
adipic acid production,RER,adipic acid,False,False
adipic acid production,RER,succinic acid,False,False
adiponitrile production,RoW,adiponitrile,False,False
adiponitrile production,RER,adiponitrile,False,False
adobe brick production,EC,adobe brick,False,False
adobe brick production,RoW,adobe brick,False,False
"agricultural machinery production, tillage",CH,"agricultural machinery, tillage",False,False
"agricultural machinery production, tillage",RoW,"agricultural machinery, tillage",False,False
"agricultural machinery production, unspecified",CH,"agricultural machinery, unspecified",False,False
"agricultural machinery production, unspecified",RoW,"agricultural machinery, unspecified",False,False
agricultural trailer production,CH,agricultural trailer,False,False
agricultural trailer production,RoW,agricultural trailer,False,False
"air compressor production, screw-type compressor, 300kW",RoW,"air compressor, screw-type compressor, 300kW",False,False
"air compressor production, screw-type compressor, 300kW",RER,"air compressor, screw-type compressor, 300kW",False,False
"air compressor production, screw-type compressor, 4kW",RoW,"air compressor, screw-type compressor, 4kW",False,False
"air compressor production, screw-type compressor, 4kW",RER,"air compressor, screw-type compressor, 4kW",False,False
"air distribution terminal panel production, steel, 120 m3/h",CH,"air distribution terminal panel, steel, 120 m3/h",False,False
"air distribution terminal panel production, steel, 120 m3/h",RoW,"air distribution terminal panel, steel, 120 m3/h",False,False
"air filter production, central unit, 600 m3/h",RoW,"air filter, central unit, 600 m3/h",False,False
"air filter production, central unit, 600 m3/h",RER,"air filter, central unit, 600 m3/h",False,False
"air filter production, decentralized unit, 180-250 m3/h",RoW,"air filter, decentralized unit, 180-250 m3/h",False,False
"air filter production, decentralized unit, 180-250 m3/h",RER,"air filter, decentralized unit, 180-250 m3/h",False,False
"air filter production, decentralized unit, 250 m3/h",RoW,"air filter, decentralized unit, 250 m3/h",False,False
"air filter production, decentralized unit, 250 m3/h",RER,"air filter, decentralized unit, 250 m3/h",False,False
"air filter production, in exhaust air valve",RoW,"air filter, in exhaust air valve",False,False
"air filter production, in exhaust air valve",RER,"air filter, in exhaust air valve",False,True
"air input/output unit production, heat and power co-generation unit, 160kW electrical",RoW,"air input/output unit, heat and power co-generation unit, 160kW electrical",False,False
"air input/output unit production, heat and power co-generation unit, 160kW electrical",RER,"air input/output unit, heat and power co-generation unit, 160kW electrical",False,False
air separation facility construction,RoW,air separation facility,False,False
air separation facility construction,RER,air separation facility,False,False
"aircraft production, agricultural",GLO,"aircraft, agricultural",False,False
"aircraft production, belly-freight aircraft, long haul",GLO,"aircraft, belly freight, long haul",True,False
"aircraft production, belly-freight aircraft, medium haul",GLO,"aircraft, belly freight, medium haul",True,False
"aircraft production, belly-freight aircraft, short haul",GLO,"aircraft, belly freight, short haul",False,False
"aircraft production, belly-freight aircraft, very short haul",GLO,"aircraft, belly freight, very short haul",False,False
"aircraft production, dedicated freight aircraft, long haul",GLO,"aircraft, dedicated freight, long haul",True,False
"aircraft production, dedicated freight aircraft, medium haul",GLO,"aircraft, dedicated freight, medium haul",True,False
"aircraft production, dedicated freight aircraft, short haul",GLO,"aircraft, dedicated freight, short haul",True,False
"aircraft production, dedicated freight aircraft, very short haul",GLO,"aircraft, dedicated freight, very short haul",True,False
"aircraft production, passenger aircraft, long haul",GLO,"aircraft, passenger, long haul",True,False
"aircraft production, passenger aircraft, medium haul",GLO,"aircraft, passenger, medium haul",False,False
"aircraft production, passenger aircraft, short haul",GLO,"aircraft, passenger, short haul",False,False
"aircraft production, passenger aircraft, very short haul",GLO,"aircraft, passenger, very short haul",False,False
airport construction,RoW,airport,True,False
airport construction,RER,airport,True,False
"alfalfa-grass mixture production, Swiss integrated production",CH,"alfalfa-grass mixture, Swiss integrated production",False,False
alfalfa/grass silage production,CA-QC,alfalfa-grass silage,False,False
alfalfa/grass silage production,RoW,alfalfa-grass silage,False,False
alfalfa/grass silage production,ZA,alfalfa-grass silage,False,False
"alkyd paint production, white, solvent-based, product in 60% solution state",RoW,"alkyd paint, white, without solvent, in 60% solution state",False,False
